epoch,train_loss,val_loss,val_mIoU,val_mIoU_no_bg,val_pixel_accuracy,lr,seconds
1,2.8389449002617844,1.6847090587079765,0.051270951602048837,0.04317066187513469,0.6164402099977057,5.85e-05,102.72768330574036
2,2.065384875119995,1.4212307767216938,0.08630261267200674,0.07798737218691659,0.6640167159727778,5.6999999999999996e-05,57.625312089920044
3,1.8294678902014707,1.2920307787546672,0.10351542270324414,0.09527069509699809,0.6831112367561064,5.550000000000001e-05,57.41247010231018
4,1.6928347119253748,1.2102534962466442,0.11812272477707374,0.11003315489527696,0.6938590390615195,5.4000000000000005e-05,57.013091802597046
5,1.5752509684068303,1.1497372767053933,0.13820336293359736,0.13036228787185467,0.7062577167189265,5.25e-05,56.58703923225403
6,1.5021455155567183,1.0841184840144882,0.16028001054789906,0.15254736037530817,0.7229585992284568,5.1e-05,57.45289325714111
7,1.4304237655173975,1.0565780444317554,0.16869489167802076,0.16103836600426993,0.7221174661414211,4.95e-05,56.22565293312073
8,1.3664676534956781,1.0137321202151746,0.19111712338197673,0.18372767798047143,0.7329646956968499,4.8e-05,56.62321162223816
9,1.315213786107109,0.9955086722431412,0.2010089959121247,0.19371434566268864,0.7404518357242447,4.6500000000000005e-05,57.58263874053955
10,1.2621808735423263,0.9756644116826805,0.20839850898154022,0.2010786793901031,0.739264890372035,4.5e-05,56.84786820411682
11,1.2303784878091801,0.968800755389723,0.2184252564158946,0.21116058399215792,0.7445198962966122,4.35e-05,57.62611699104309
12,1.1962315065273341,0.9332460481000234,0.22913274600081782,0.22204674287315015,0.7520196753812124,4.2e-05,57.11993956565857
13,1.153324709688142,0.9287515064798685,0.24256740137021357,0.23557106844430445,0.7511284150272967,4.05e-05,55.71004581451416
14,1.1274855673778283,0.9137917622983696,0.2447049043388788,0.2376623996769849,0.7535415480893299,3.9e-05,56.74338889122009
15,1.0979916854579845,0.890777714281197,0.24604245327710572,0.23903088658086347,0.7603069902902626,3.7500000000000003e-05,55.932666301727295
16,1.0845672602903351,0.8894822291102276,0.2530528115512946,0.24615508809245215,0.7596048638523822,3.6e-05,57.14724135398865
17,1.0445118002003784,0.8783754641751209,0.26095266376598125,0.2541144075658111,0.761024758518939,3.45e-05,57.254761934280396
18,1.0302622148690281,0.8739047414327721,0.25436552628929276,0.24743746624086457,0.7561508239991215,3.3e-05,56.62354278564453
19,1.0073763062324013,0.8749509379566913,0.26561703533289766,0.25878829649262636,0.7616329193115234,3.15e-05,57.37505841255188
20,0.9798476693090653,0.8590949017360029,0.26615447764557243,0.25933058295764344,0.7620346728098919,3e-05,57.50902509689331
21,0.9570558391552971,0.8690999032981903,0.27291390858058523,0.2661276596212076,0.7669101623167475,2.8499999999999998e-05,56.30815505981445
22,0.9418090351980798,0.8557606868475796,0.27118713406277845,0.2645037808954153,0.7660119543113861,2.7e-05,57.181105613708496
23,0.9320917301619199,0.8479750659092363,0.27740264076080884,0.2706889853951327,0.7689409753883699,2.5500000000000003e-05,56.291099071502686
24,0.9124277450567903,0.8707828454703213,0.27958555440473304,0.27291700972400396,0.7661577630713283,2.4e-05,56.56935262680054
25,0.890267248244057,0.8434656949407126,0.2783521170757605,0.271694272152782,0.7708538315861101,2.25e-05,55.08756685256958
26,0.866789224421566,0.8608189294615902,0.28380397334851193,0.27723222698542543,0.769080702080784,2.1e-05,56.05841302871704
27,0.8626883689110627,0.8538058852574911,0.2815990434044658,0.2749884504890027,0.770399943891778,1.9499999999999996e-05,56.412872552871704
28,0.863263018553871,0.8538842464546602,0.2853598434290307,0.2788166326324393,0.7714919584343233,1.8000000000000004e-05,56.27900457382202
29,0.8426043478807345,0.8541850962313303,0.2827114428088498,0.27616261560224553,0.7717625568190731,1.65e-05,57.29981827735901
30,0.8350202304197926,0.848371133746871,0.2900574068494117,0.2835739753160291,0.7723965089483912,1.5e-05,57.7634642124176
31,0.8144093451026823,0.8436514225350805,0.2904675490747759,0.2840066689388952,0.7745709476700748,1.35e-05,57.2371780872345
32,0.7942923648434472,0.85439896775058,0.28745718497121325,0.28096674995906223,0.7707854121564383,1.1999999999999997e-05,57.42992043495178
33,0.8091803486131904,0.8542574265874533,0.2917524935233263,0.2852239894793179,0.7716024850745756,1.0500000000000003e-05,56.21174478530884
34,0.7908227658856539,0.8618242601792975,0.291166101313889,0.2846210291377134,0.7709414547226994,9.000000000000002e-06,56.58675026893616
35,0.7776238815973169,0.8477186716225252,0.28786477303819963,0.2813700735293425,0.7712638579219221,7.5e-06,58.0459840297699
36,0.7798633216748403,0.8495138840503004,0.2907466627907923,0.28428145744754546,0.7723789138487543,5.9999999999999985e-06,57.49399971961975
37,0.7750474755713507,0.8529214107367887,0.2952861355837405,0.28879365654008304,0.7719519741563912,4.4999999999999976e-06,56.92985987663269
38,0.7590512672661406,0.8486405165798693,0.29316811172941976,0.28672708149668985,0.7726886856508064,3.0000000000000026e-06,56.23193573951721
39,0.7391898793254542,0.8516139883592905,0.2935720419232623,0.2871438301271287,0.7731996789036026,1.5000000000000013e-06,56.08738970756531
40,0.7445079760142127,0.8536195266677673,0.29457073457023686,0.2881357780226871,0.7719814346497318,0.0,57.40862536430359
